id,codigo_barras,descripcion,stock_minimo,id_proveedor,stock_ideal,id_unidad,id_padre,tipo,cant_paquete,precio_costo,precio_venta,precio_venta2,precio_venta3,estado
1143,TR0304,FLEXOMETRO SUPERIOR X 5 MTS,0,,0,1,,0,1,5569.2,15800,15100,14100,t
1144,TR0305,"FLEXOMETRO COVO X 7,5 MTS",0,,0,1,,0,1,12920,26000,23200,22000,t
1145,TR0306,FLEXOMETRO LUFKIN X 3 MTS,0,,0,1,,0,1,6396.431123,12800,11400,10700,t
1146,TR0307,FLEXOMETRO LUFKIN X 5 MTS,0,,0,1,,0,1,9231.22807,18600,16600,15800,t
1147,TR0308,FLEXOMETRO LUFKIN X 8 MTS,0,,0,1,,0,1,18162.6,33400,31200,29600,t
1148,TR0309,FLEXOMETRO COVO X 5 MTS,0,,0,1,,0,1,7567.55,10400,10000,9400,t
1149,TR0310,FLEXOMETRO UYUSTOOLS X 5 MTS,0,,0,1,,0,1,10387,19400,18100,17000,t
1150,TR0311,"FLOTADOR TANQUE 1/2"" METALICO",0,,0,1,,0,1,16901.45,29200,28100,27000,t
1151,TR0312,FLOTADOR UNIVERSAL INRECO REF: 20031,0,,0,1,,0,1,72414.052632,118000,115100,106000,t
1152,TR0313,"FORMON 1"" UYUSTOOLS",0,,0,1,,0,1,9151.26,17100,16600,15500,t
1153,TR0314,"FORMON 3/4"" UYUSTOOLS",0,,0,1,,0,1,11988,22400,21200,20100,t
1154,TR0315,"FORMON STANLEY 1"" 16-115",0,,0,1,,0,1,26925,49000,47000,45200,t
1155,TR0316,"FORMON STANLEY 1-1/2"" 16-118",0,,0,1,,0,1,22648,41200,39500,38000,t
1156,TR0317,FRENO LINEA DE VIDA 12 M A 16M / ARRESTADOR,0,,0,1,,0,1,185714,312400,304300,296600,t
1157,TR0331,GAFA TRANSPARENTE CINTA EN CAUCHO,0,,0,1,,0,1,5439.272727,10200,9500,9000,t
1158,TR0332,GAFA ZUBIOLA OSCURO 3 COLORES REF: 11889025,0,,0,1,,0,1,5655.230769,11400,10000,9500,t
1159,TR0333,GAFA ZUBIOLA TRANSPARENTE 3 COLORES REF: 11889020,0,,0,1,,0,1,5699.7,11500,10100,9600,t
1160,TR0334,GANCHO MOSQUETON STEELPRO CARABINERO ACERO DOBLE,0,,0,1,,0,1,34700,69900,64900,60600,t
1161,TR0335,GANCHO SEGURIDAD ORIGINAL  5000LBS REF: Y23KN - YN3630T,0,,0,1,,0,1,50039.375755,130000,110000,90000,t
1162,TR0336,GAS MAPP PRO BENZOMATIC (AMERICANO) ICELONG,0,,0,1,,0,1,25920,52200,48500,45200,t
1163,TR0337,GATO HIDRAULICO 3 TON,0,,0,1,,0,1,54350,101600,97500,90100,t
1164,TR0338,GATO HIDRAULICO 5 TON,0,,0,1,,0,1,52450,95400,91600,88000,t
1165,TR0339,GATO HIDRAULICO 8 TON,0,,0,1,,0,1,78950,137800,134200,130800,t
1166,TR0340,GAVETERO MODULAR #4 ROJO,0,,0,1,,0,1,18651,37600,36400,34900,t
1167,TR0342,"GRAPA PUMA 1 1/4 X 9"" 800 GR (PATA LARGA)",0,,0,1,,0,1,5456.727273,9000,8500,8000,t
1168,TR0343,"GRAPA PUMA 1 X 9"" 800 GR (PATA CORTA)",0,,0,1,,0,1,5637.06,9100,8500,8100,t
1169,TR0347,"GRATA CIRCULAR TRENZADA BISONTE 45""",0,,0,1,,0,1,13851,25200,24200,23200,t
1170,TR0348,"GRATA COPA LISA 3"" MULTI-ROSCA",0,,0,1,,0,1,5894.052857,11900,11300,11000,t
1171,TR0349,"GRATA COPA LISA 4"" MULTI-ROSCA",0,,0,1,,0,1,10653,20200,18800,18100,t
1172,TR0350,"GRATA COPA TRENZADA 29/16"" MULTI-ROSCA",0,,0,1,,0,1,13038,23700,22700,21900,t
1173,TR0351,"GRATA COPA TRENZADA 4"" MULTI-ROSCA",0,,0,1,,0,1,23039.333333,40700,39600,38600,t
1174,TR0353,GUANTE CARNAZA REFORZADO LARGO GRIS,0,,0,1,,0,1,60504,110000,105600,100300,t
1175,TR0354,GUANTE CAUCHO CORTO CAL:50 PROTEXION - LATEPOR Y LATEXPORT,0,,0,1,,0,1,13326,22400,21300,20100,t
1176,TR0355,GUANTE CAUCHO LARGO CAL:65 PROTEXION - LATEPOR MOSQUETERO,0,,0,1,,0,1,30571,55600,54100,52000,t
1177,TR0356,GUANTE NITRILO NYLON TEXTURADO STEELPRO-ZUBIOLA,0,,0,1,,0,1,5034.852392,8400,7900,7400,t
1178,TR0357,GUARDAMOTOR - ARRANCADOR CHINT 23-32 AMP,0,,0,1,,0,1,117538.138571,195500,166600,162900,t
1179,TR0359,HACHA CON CABO OJO OVALADO 35LBS,0,,0,1,,0,1,35640,58300,56900,54900,t
1180,TR0360,HIDROLAVADORA 1400W BLACK DECKER REF: PW1450DT-B3,0,,0,1,,0,1,250000,385000,371900,363700,t
1181,TR0362,HOJA SEGUETA NICHOLSON 18D Y 24D,0,,0,1,,0,1,2494.872907,4600,4500,4300,t
1182,TR0363,"HOMBRESOLO CORNETA 10"" REF: 7692121",0,,0,1,,0,1,24179,44000,42200,40100,t
1183,TR0364,"HOMBRESOLO STANLEY 10"" CURVO REF: 84369",0,,0,1,,0,1,28107,51100,49100,47200,t
1184,TR0365,"HOMBRESOLO STANLEY 10"" RECTO REF: 84371",0,,0,1,,0,1,25475,47600,45100,43300,t
1185,TR0366,"HOMBRESOLO VISEGRIP 10"" RECTO REF: M0102L3",0,,0,1,,0,1,29509.389286,55200,52200,50200,t
1186,TR0367,IMPERMEABILIZANTE SIKA 1 X 20 KG,0,,0,1,,0,1,307563,491400,478600,449400,t
1187,TR0368,IMPERMEABLE AMARILLO 2 PZ T: XL,0,,0,1,,0,1,42108.308866,69300,66000,63000,t
1188,TR0369,IMPERMEABLE PONCHO CAPUCHO NEGRO,0,,0,1,,0,1,24454.274,40000,38000,36000,t
1189,TR0370,INFLADOR NEUMATICO  WUFU TG-4,0,,0,1,,0,1,9194,16700,16000,15000,t
1190,TR0371,INTERRUPTOR PARA ELECTROBOMBA UDUKE,0,,0,1,,0,1,16605,30200,29000,28200,t
1191,TR0372,INTERRUPTOR SENCILLO FORTE COD: 13929,0,,0,1,,0,1,4278.6,8300,7800,7600,t
1192,TR0373,JUEGO ACOPLE WUFU COMPRESOR 5PCS REF: MA006,0,,0,1,,0,1,11624,21700,20300,19300,t
1193,TR0374,"JUEGO COPAS SATA X 46 PZS 1/2"" REF:09006",0,,0,1,,0,1,401334.66,594000,580500,571500,t
1194,TR0375,JUEGO DE BROCA INCOLMA HIERRO X 17 PIEZAS 1/16-1/2,0,,0,1,,0,1,128235,209800,199800,192900,t
1195,TR0376,JUEGO LLAVES BRISTOL SATA TORX X 8 PIEZAS REF:09123,0,,0,1,,0,1,29333.15,54100,51200,48000,t
1196,TR0377,JUEGO LLAVES BRISTOL STANLEY X 10 PIEZAS REF: 69253,0,,0,1,,0,1,25091.44,45000,42700,41600,t
1197,TR0378,JUEGO LLAVES BRISTOL TOTAL X 9 PIEZAS,0,,0,1,,0,1,12184.87,23100,21500,20200,t
1198,TR0379,JUEGO DE LLAVES HEX LARGA 12 PIEZAS REF: 09108,0,,0,1,,0,1,68193.36,115900,107500,102600,t
1199,TR0380,JUEGO DE LLAVES HEX LARGA 9 PIEZAS REF: 09107,0,,0,1,,0,1,59795.46,101700,97900,92100,t
1200,TR0381,JUEGO DE LLAVES HEX PLEGABLE 8 PIEZAS  REF: 09121,0,,0,1,,0,1,26367,46000,43100,40100,t
1201,TR0382,JUEGO DE LLAVES HEX PLEGABLE 9 PIEZAS REF: 09122,0,,0,1,,0,1,26367,49300,47300,45400,t
1202,TR0383,JUEGO DE LLAVES MIXTA SATA X 14 PZS REF:09026,0,,0,1,,0,1,179787,320000,300000,280000,t
1203,TR0384,JUEGO DE LLAVES MIXTA SATA X 23 PIEZAS REF:09027,0,,0,1,,0,1,419890.8,694500,660200,644300,t
1204,TR0385,JUEGO DESTORNILLADOR COVO X 6 PIEZAS,0,,0,1,,0,1,19926,38400,36200,35200,t
1205,TR0386,JUEGO DESTORNILLADOR COVO X 8 PIEZAS,0,,0,1,,0,1,24503,49300,47200,45200,t
1206,TR0387,JUEGO DESTORNILLADOR RANGER X 6 PIEZAS,0,,0,1,,0,1,13932,35000,30000,25000,t
1207,TR0388,JUEGO DESTORNILLADOR UYUSTOOLS X 6 PIEZAS,0,,0,1,,0,1,36450,70000,65000,60000,t
1208,TR0389,JUEGO PISTOLA 3 BOQUILLAS DG-10AA WUFU,0,,0,1,,0,1,17739,40000,35000,30000,t
1209,TR0390,JUEGO PISTOLA SOPLADORA AIRE COMPRIMIDO 17 PIEZAS MA014 WUFU,0,,0,1,,0,1,45743.666667,85000,80000,75000,t
1210,TR0391,JUEGO SACABOCADOS PARA BANDA 3/16 A 1/2 5PZ,0,,0,1,,0,1,10204.425399,22000,20100,18200,t
1211,TR0392,LAMINA NOLAY No 23 PARA COCOS 40 X 120,0,,0,1,,0,1,15126.04,35000,30000,25000,t
1212,TR0402,LIJA DE AGUA ABRACOL #150,0,,0,1,,0,1,891,2000,1800,1600,t
1213,TR0403,LIJA DE AGUA ABRACOL #240,0,,0,1,,0,1,729,2000,1800,1600,t
1214,TR0404,LIJA DE AGUA ABRACOL #400,0,,0,1,,0,1,1008,2000,1800,1600,t
